"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"57","0.0022057410045992583","0.0022057410045992583","0.0022057410045992583","0.0001544311740063131","0.0001544311740063131","0.0001544311740063131","0.01805961441412568","0.01805961441412568","0.01805961441412568","0.05749855436712503","0.05749855436712503","0.05749855436712503","0.00007271235467109363","0.00007271235467109363","0.00007271235467109363","0.013608899655267596","0.013608899655267596","0.013608899655267596"
"58","0.0013438375179097056","0.0013438375179097056","0.0013438375179097056","0.00015720084842294456","0.00015720084842294456","0.00015720084842294456","0.013454893041923642","0.013454893041923642","0.013454893041923642","0.05591342419981957","0.05591342419981957","0.05591342419981957","0.00008193077996722423","0.00008193077996722423","0.00008193077996722423","0.01576805818852037","0.01576805818852037","0.01576805818852037"
"59","0.0016371007446246222","0.0016371007446246222","0.0016371007446246222","0.00014668115774169564","0.00014668115774169564","0.00014668115774169564","0.01428012416191399","0.01428012416191399","0.01428012416191399","0.056062519491910934","0.056062519491910934","0.056062519491910934","0.00006689779283013194","0.00006689779283013194","0.00006689779283013194","0.013154188720062375","0.013154188720062375","0.013154188720062375"
"60","0.001767729242038913","0.001767729242038913","0.001767729242038913","0.00015102380761876702","0.00015102380761876702","0.00015102380761876702","0.01572591651290655","0.01572591651290655","0.01572591651290655","0.05377238807156682","0.05377238807156682","0.05377238807156682","0.00006366331489523873","0.00006366331489523873","0.00006366331489523873","0.013187001584768295","0.013187001584768295","0.013187001584768295"
"61","0.001962874904843047","0.001962874904843047","0.001962874904843047","0.00014123946036212145","0.00014123946036212145","0.00014123946036212145","0.01592204916195944","0.01592204916195944","0.01592204916195944","0.05472535109043122","0.05472535109043122","0.05472535109043122","0.000059435673804255205","0.000059435673804255205","0.000059435673804255205","0.012106488972231745","0.012106488972231745","0.012106488972231745"
"62","0.0029004496398894117","0.0029004496398894117","0.0029004496398894117","0.00015645787166431547","0.00015645787166431547","0.00015645787166431547","0.015651887408941984","0.015651887408941984","0.015651887408941984","0.04701643441200257","0.04701643441200257","0.04701643441200257","0.00006913495784159749","0.00006913495784159749","0.00006913495784159749","0.012196202860102057","0.012196202860102057","0.012196202860102057"
"63","0.002455464060478844","0.002455464060478844","0.002455464060478844","0.00014331297407858075","0.00014331297407858075","0.00014331297407858075","0.014519219522178174","0.014519219522178174","0.014519219522178174","0.04997129278063774","0.04997129278063774","0.04997129278063774","0.00008719205970293842","0.00008719205970293842","0.00008719205970293842","0.013417494496405124","0.013417494496405124","0.013417494496405124"
"64","0.0015891979269124568","0.0015891979269124568","0.0015891979269124568","0.00014353500708471983","0.00014353500708471983","0.00014353500708471983","0.015016144768372179","0.015016144768372179","0.015016144768372179","0.04638317703962326","0.04638317703962326","0.04638317703962326","0.00008138375437352806","0.00008138375437352806","0.00008138375437352806","0.011913696866892278","0.011913696866892278","0.011913696866892278"
"65","0.0015043770541483537","0.0015043770541483537","0.0015043770541483537","0.0001475112866901327","0.0001475112866901327","0.0001475112866901327","0.01508769076421857","0.01508769076421857","0.01508769076421857","0.04775101773142815","0.04775101773142815","0.04775101773142815","0.00006942979666870087","0.00006942979666870087","0.00006942979666870087","0.01001849536664784","0.01001849536664784","0.01001849536664784"
"66","0.0020400646533910187","0.0020400646533910187","0.0020400646533910187","0.00014203649419359862","0.00014203649419359862","0.00014203649419359862","0.014307659843303263","0.014307659843303263","0.014307659843303263","0.04258279155403376","0.04258279155403376","0.04258279155403376","0.00006536669667228125","0.00006536669667228125","0.00006536669667228125","0.011374040514025838","0.011374040514025838","0.011374040514025838"
